# x	y	u	v	s2n	mask
  0.8855	  0.8370	178.8716	  8.1092	  1.7358	  0.0000
  1.5163	  0.8370	176.3444	 10.2522	  1.7101	  0.0000
  2.1470	  0.8370	169.0286	 11.8183	  1.2848	  0.0000
  2.7778	  0.8370	170.8754	  7.5469	  1.2520	  0.0000
  3.4085	  0.8370	182.7375	  6.5359	  1.3951	  0.0000
  4.0393	  0.8370	182.0259	  6.0666	  1.5122	  0.0000
  4.6701	  0.8370	182.6364	  7.5253	  1.5205	  0.0000
  5.3008	  0.8370	181.8450	 10.6815	  1.3240	  0.0000
  5.9316	  0.8370	184.4175	  9.7089	  1.5751	  0.0000
  6.5623	  0.8370	185.4601	  9.9436	  1.5644	  0.0000
  7.1931	  0.8370	183.2618	 13.0854	  1.3538	  0.0000
  7.8239	  0.8370	185.7000	  8.3951	  1.6633	  0.0000
  8.4546	  0.8370	188.8973	  4.5685	  1.9178	  0.0000
  9.0854	  0.8370	190.8011	  8.2780	  1.9533	  0.0000
  9.7162	  0.8370	189.6127	 10.9079	  1.6052	  0.0000
 10.3469	  0.8370	190.0944	 13.0582	  1.6003	  0.0000
 10.9777	  0.8370	186.4025	  9.1843	  1.3775	  0.0000
 11.6084	  0.8370	188.9589	  8.6630	  1.6817	  0.0000
 12.2392	  0.8370	190.1527	  9.6808	  2.0302	  0.0000
 12.8700	  0.8370	189.7492	  4.4233	  1.6469	  0.0000
 13.5007	  0.8370	188.4292	  3.9485	  1.4916	  0.0000
 14.1315	  0.8370	189.6765	  6.5309	  1.6451	  0.0000
 14.7623	  0.8370	187.9766	 10.1911	  1.2511	  0.0000
 15.3930	  0.8370	187.9631	  7.3612	  1.5807	  0.0000
 16.0238	  0.8370	188.4608	  5.4223	  1.9095	  0.0000
 16.6545	  0.8370	187.1503	  5.7651	  1.4145	  0.0000
 17.2853	  0.8370	188.0018	  3.4317	  1.5436	  0.0000
 17.9161	  0.8370	189.0180	  5.8080	  1.7463	  0.0000
 18.5468	  0.8370	188.0621	  8.4066	  1.5313	  0.0000
 19.1776	  0.8370	187.5024	  2.9516	  1.6573	  0.0000
 19.8083	  0.8370	188.1365	  3.4710	  1.8933	  0.0000
 20.4391	  0.8370	190.4876	  2.4566	  1.9073	  0.0000
 21.0699	  0.8370	191.3978	  1.4797	  1.7447	  0.0000
 21.7006	  0.8370	189.2698	  4.2630	  1.6388	  0.0000
 22.3314	  0.8370	189.3374	  2.6427	  1.7801	  0.0000
 22.9622	  0.8370	189.6286	  2.0993	  1.4055	  0.0000
 23.5929	  0.8370	188.4477	  5.5181	  1.6507	  0.0000
 24.2237	  0.8370	189.7684	  3.9096	  1.7065	  0.0000
 24.8544	  0.8370	190.0499	  3.3765	  1.6500	  0.0000
 25.4852	  0.8370	186.8513	  1.6173	  1.2541	  0.0000
  0.8855	  1.4677	181.1276	 10.0428	  1.9199	  0.0000
  1.5163	  1.4677	178.3136	  9.5743	  1.9895	  0.0000
  2.1470	  1.4677	172.1804	 13.2472	  1.4771	  0.0000
  2.7778	  1.4677	174.1396	 13.6049	  1.3215	  0.0000
  3.4085	  1.4677	176.8754	  8.7926	  1.5245	  0.0000
  4.0393	  1.4677	179.1672	  6.5208	  1.5767	  0.0000
  4.6701	  1.4677	181.1063	  7.5385	  1.2587	  0.0000
  5.3008	  1.4677	182.3014	  7.5087	  1.2977	  0.0000
  5.9316	  1.4677	183.6421	  6.7491	  1.6156	  0.0000
  6.5623	  1.4677	185.8665	  8.4672	  1.6337	  0.0000
  7.1931	  1.4677	185.9618	  9.5174	  1.5165	  0.0000
  7.8239	  1.4677	189.5655	  5.4007	  1.7658	  0.0000
  8.4546	  1.4677	188.5701	  6.0661	  1.8777	  0.0000
  9.0854	  1.4677	190.8318	  8.1443	  1.7133	  0.0000
  9.7162	  1.4677	191.6465	  6.8489	  1.1170	  0.0000
 10.3469	  1.4677	191.7174	  2.3784	  1.5860	  0.0000
 10.9777	  1.4677	186.6843	  2.1755	  1.5257	  0.0000
 11.6084	  1.4677	185.7620	  2.7338	  1.5844	  0.0000
 12.2392	  1.4677	189.9770	  5.4843	  1.4584	  0.0000
 12.8700	  1.4677	186.4794	  5.6398	  1.5318	  0.0000
 13.5007	  1.4677	185.4626	  7.8175	  1.4907	  0.0000
 14.1315	  1.4677	189.3179	  6.7941	  1.5922	  0.0000
 14.7623	  1.4677	189.5144	  3.5013	  1.7000	  0.0000
 15.3930	  1.4677	190.2951	  4.2192	  1.9677	  0.0000
 16.0238	  1.4677	190.5044	  5.0988	  1.6820	  0.0000
 16.6545	  1.4677	186.6642	  1.1831	  1.1313	  0.0000
 17.2853	  1.4677	187.4476	  1.0325	  1.4726	  0.0000
 17.9161	  1.4677	186.5709	  0.8069	  1.6788	  0.0000
 18.5468	  1.4677	188.0691	  0.5902	  1.6525	  0.0000
 19.1776	  1.4677	189.9196	  4.1874	  1.7572	  0.0000
 19.8083	  1.4677	189.0923	  3.1681	  1.7534	  0.0000
 20.4391	  1.4677	190.3740	 -0.2450	  1.7082	  0.0000
 21.0699	  1.4677	190.8278	  3.0256	  1.6566	  0.0000
 21.7006	  1.4677	188.8046	  4.0586	  1.6710	  0.0000
 22.3314	  1.4677	187.0594	  3.7739	  1.7244	  0.0000
 22.9622	  1.4677	183.2714	  4.1175	  1.3214	  0.0000
 23.5929	  1.4677	188.9283	  4.6639	  1.5137	  0.0000
 24.2237	  1.4677	190.0877	  4.1719	  1.4691	  0.0000
 24.8544	  1.4677	191.1155	  3.6181	  1.9040	  0.0000
 25.4852	  1.4677	188.4252	  2.2544	  1.1912	  0.0000
  0.8855	  2.0985	176.3932	 11.3019	  1.7910	  0.0000
  1.5163	  2.0985	176.7425	 11.2318	  2.0086	  0.0000
  2.1470	  2.0985	166.2047	  9.6120	  1.3382	  0.0000
  2.7778	  2.0985	174.0059	  9.4866	  1.4713	  0.0000
  3.4085	  2.0985	178.7309	  7.5491	  1.6108	  0.0000
  4.0393	  2.0985	173.6714	  7.5120	  1.4995	  0.0000
  4.6701	  2.0985	178.5525	  7.8274	  1.5772	  0.0000
  5.3008	  2.0985	182.7506	  7.5724	  1.3994	  0.0000
  5.9316	  2.0985	179.4389	  5.6300	  1.3623	  0.0000
  6.5623	  2.0985	183.4824	  8.0783	  1.4485	  0.0000
  7.1931	  2.0985	186.4834	  8.1606	  1.5762	  0.0000
  7.8239	  2.0985	188.7336	  6.0386	  2.0081	  0.0000
  8.4546	  2.0985	190.2183	  6.9986	  1.7657	  0.0000
  9.0854	  2.0985	190.1213	  8.1575	  1.4239	  0.0000
  9.7162	  2.0985	187.7722	  7.4970	  1.1584	  0.0000
 10.3469	  2.0985	185.6526	  7.3584	  1.5190	  0.0000
 10.9777	  2.0985	189.2032	  7.0545	  1.6343	  0.0000
 11.6084	  2.0985	185.2073	  4.8263	  1.7242	  0.0000
 12.2392	  2.0985	187.9125	  5.2121	  1.4099	  0.0000
 12.8700	  2.0985	182.6669	  6.1906	  1.2547	  0.0000
 13.5007	  2.0985	187.4784	  5.5836	  1.6877	  0.0000
 14.1315	  2.0985	190.9991	  4.4023	  1.9092	  0.0000
 14.7623	  2.0985	184.2224	  4.0872	  1.6017	  0.0000
 15.3930	  2.0985	189.7388	  4.8228	  1.4642	  0.0000
 16.0238	  2.0985	188.8406	  4.5053	  1.1797	  0.0000
 16.6545	  2.0985	187.2997	  4.6525	  1.4426	  0.0000
 17.2853	  2.0985	190.1314	  4.6430	  1.6150	  0.0000
 17.9161	  2.0985	185.8360	  5.6374	  1.3939	  0.0000
 18.5468	  2.0985	188.1692	  5.4040	  1.6396	  0.0000
 19.1776	  2.0985	191.3437	  6.3221	  1.5554	  0.0000
 19.8083	  2.0985	191.4869	  3.3245	  1.5147	  0.0000
 20.4391	  2.0985	191.1779	 -5.2208	  1.2271	  0.0000
 21.0699	  2.0985	191.9335	 -0.0552	  1.6402	  0.0000
 21.7006	  2.0985	189.7026	  2.2246	  1.7080	  0.0000
 22.3314	  2.0985	189.4245	  2.8841	  1.5025	  0.0000
